feature,coefficient
city_CARIBOU LAKE,-0.0002893170254026724
city_CARIBOU STRIP,-0.00019715011124473984
city_CATHEDRAL RAPID,0.0005040351700353253
city_CENTRAL,0.0003067097733551886
city_CHACKACHATNA RI,-0.0002011700432281098
city_CHAKACHAMNA,-0.0001991373573428152
city_CHAKACHAMNA LK,-0.00020094172280338943
city_CHALKITSIK,-0.0002008826285435427
city_CHANDALAR,0.00021639556305151086
city_CHANDALAR LAKE,-0.00019468521833185726
city_CHANDALAR RIVER,-0.00020219748990045065
city_CHANDLER,-0.00019798234279343283
city_CHARLEY RIVER,-0.00020192240131403742
city_CHARLIE LAKE,-0.00019940540178802092
city_CHATANIAK VLY,-0.00019962164597190832
city_CHATHAM,0.0005005796151891386
city_CHEFORNAK,-0.0001997221043679873
city_CHENA HOT SPRGS,-0.00020251462678697217
city_CHENA HOT SPRNG,-0.00019393671359584043
city_CHENA MARINA,-0.0001986017480769087
city_CHENEGA BAY,-0.00020304372196101484
city_CHETASLINA RVR,-0.00020278436659862414
city_CHEVAK,-0.0004893659567205669
city_CHICKALOON,-0.00023977933566036503
city_CHICKALOON FLAT,0.0004673900301108612
city_CHICKALOONFLATS,-0.0002004780502490623
city_CHICKEN,-0.0003442881052306988
city_CHIGNIK,-0.0002836580313844001
city_CHIP RIVER,-0.00020295964767841088
city_CHISANA,-0.00019718778078876422
city_CHISTOCHINA,6.237001310854749e-05
city_CHITINA,-0.00013229080244976806
city_CHRISTIAN LAKE,0.0005100894766827048
city_CHUATHBALUK,-0.0002006123020385134
city_CHUGIAK,9.992181208311917e-05
city_CHUIT RIVER,-0.00020501958832173968
city_CINNIBAR,0.0005002269720865035
city_CIRCLE,8.83825103184092e-06
city_CIRCLE CITY,0.00020363391134456342
city_CIRCLE HOT SPGS,-0.00020154226408679768
city_CIRCLE HOT SPRI,-0.00019383978243572893
city_CLAM GULCH,-0.00020296007645047098
city_CLARKS POINT,6.016164887469579e-05
city_CLEAR,-0.00040026105814995334
city_CLOUDY LAKE,0.0005023038895417749
city_COAL CREEK,-0.00020389782375433872
city_COAL LAKE,0.0004990017589255983
city_COLD BAY,-0.00013366786317960884
city_COLD FOOT,0.0002087180536772651
city_COLDFOOT,0.000493826002870038
city_COMET MINE,-0.00019604685455008162
city_COOL LAKE,-0.00020180591554336293
city_COOPER LANDING,0.00048752701057769624
city_COPPER CENTER,-0.0003485248756790788
city_COPPER CENTER 2,-0.00019418335934974433
city_COPPER HARBOR,0.0004925423425267627
city_CORDOVA,-0.000495385508227382
city_COTTONWOOD CRK,-0.00020223528544782918
city_COVILLE LAKE,-0.0002039197171303082
city_CRAIG,-0.00028846861328916067
city_CRESCENT LAKE,0.0004996215215420935
city_CRIPPLE,-0.00020705163717529945
city_CROOKED CREEK,0.0007016162489183855
city_CUBE COVE,5.923512179032231e-05
city_CULKANA,-0.0002012320855447913
city_CURRY,0.0005051992268884218
city_CUTLER RIVER,0.0005089651399048458
city_Cantwell,-0.00019023551512266303
city_Cape Yakataga,8.752270643309063e-05
city_Central,-0.000285256039095841
city_Chaka Creek,-0.00020164673987570347
city_Chalkyitsik,0.0005014334954121582
city_Chandalar Lake,-0.00019596741289487838
city_Chandalar Shelf,-0.0001948050613707201
city_Chefornak,-0.0003991909316966295
city_Chena Hot Springs,-0.00019597942854870804
city_Chenega Bay,-0.0003479239422124017
city_Chenga Bay,6.031561334607729e-05
city_Chevak,-0.00019775583463846696
city_Chickaloon,0.00021676645429781867
city_Chicken,-0.0002816435174471853
city_Chicken Lake,-0.00019907391317893305
city_Chignik Lagoon,-0.0002788248956447429
city_Chignik Lake,0.00021516164375981356
city_Chinita Bay,-0.00020282913088039736
city_Chinitna Bay,-0.00020666661051554626
city_Chisana,-0.0002787846819193068
city_Chitina,-0.00020372572252166056
city_Chuathbaluk,0.0005078487954063731
city_Chugiak,0.0007120898462273636
city_Circle,-0.0002054253945603072
city_Clear,-0.0002635078089132267
city_Coal Creek,0.0005059258208491397
city_Coffman Cove,-0.00019324460123218036
city_Cold Bay,-0.00012578794452029743
city_Cold Foot,0.0
city_Coldfoot,0.00011882285556281536
city_Cooper Landing,8.872990220433636e-05
city_Copper Center,0.000506089152095442
city_Cordova,-3.4820582762425775e-05
city_Crooked Creek,0.0002079338092156538
city_DADINA LAKE,0.000509201267653728
city_DAN CREEK,-0.00019866626233148584
city_DANIELS CREEK,0.0004989276497576467
city_DEADHORSE,-0.00037187159519181046
city_DEERING,-0.00019814512459667886
city_DELTA JUNCTION,6.61170544413212e-05
city_DELTA RIVER,-0.000199650573887109
city_DENALI,-0.0002046724078295936
city_DENALI NAT'L PK,0.0002130958338096251
city_DESHKA RIVER,-0.0002812176834561727
city_DILLINGAHM,-0.00020084138488779568
city_DILLINGHAM,-0.00018002164402568214
city_DOG FISH BAY,0.0
city_DOG SALMON RIV,-0.00020337971924355843
city_DOUGLAS ISLAND,-0.00020287631725266736
city_DRIFT RIVER,6.191393230730925e-05
city_DRY BAY,5.8056430933460046e-05
city_DRY CREEK,-0.00028488131549839787
city_DRY CREEK MINE,-0.00020119441239367127
city_DUFFYS TAVERN,0.0
city_DUTCH HARBOR,0.0002981954534589384
city_Deadhorse,0.00038926155434370604
city_Delta,0.0005104656036858413
city_Delta Junction,-4.5386598706830514e-05
city_Denali,-0.0002022095459827141
city_Denali Park,0.0003062307518850162
city_Dillingham,-0.000307042051052256
city_Dilllingham,-0.0001959265000209823
